v_products_id,v_products_type,v_products_quantity,v_products_price_uom,v_products_model,v_products_image,v_products_price,v_products_virtual,v_products_date_added,v_products_last_modified,v_products_date_available,v_products_weight,v_products_status,v_products_ordered,v_products_quantity_order_min,v_products_quantity_order_units,v_products_priced_by_attribute,v_product_is_free,v_product_is_call,v_products_quantity_mixed,v_product_is_always_free_shipping,v_products_qty_box_status,v_products_quantity_order_max,v_products_sort_order,v_products_discount_type,v_products_discount_type_from,v_products_price_sorter,v_products_mixed_discount_quantity,v_metatags_title_status,v_metatags_products_name_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_products_name_en,v_products_description_en,v_products_url_en,v_products_viewed_en,v_metatags_title_en,v_metatags_keywords_en,v_metatags_description_en,v_manufacturers_name,v_tax_class_title,v_categories_name,v_products_link,v_dbio_command
2,1,-1,EA,0005-00000001-001,air_als/decomp.jpg,10.00,0,"2012-07-30 10:43:00","2023-04-15 05:17:58",,0,1,1353,1,1,0,0,0,1,0,1,4,0,0,0,10.0000,0,0,0,0,0,0,"Angiocath 14 gauge 3.25, Decompression",,,517,,,,,,"Airway / ALS",http://iemssupply.net/iems/index.php?main_page=product_info&products_id=2,
3,1,0,EA,0005-00000002-001,/air_als/cpaplg.jpg,55.50,0,"2012-07-30 11:06:00","2022-11-29 18:49:44",,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,55.5000,1,0,0,0,0,0,"CPAP, Large Mask  Single Use Kit",,,2,,,,,,"Airway / ALS",http://iemssupply.net/iems/index.php?main_page=product_info&products_id=3,
4,1,0,EA,0005-00000003-001,/air_als/cpaplg.jpg,55.83,0,"2012-07-30 11:06:00","2022-11-29 18:50:07",,0,0,510,1,1,0,0,0,0,0,1,1,0,0,0,55.8300,1,0,0,0,0,0,"CPAP, Large Mask complete kit w/ Filter and T connector","Continuous Positive Airway Pressure therapy kit, size Large.   <i>Limit one per run number.</i>  <b>IEMS Restricted List</b>",,620,,,,,,"Airway / ALS",http://iemssupply.net/iems/index.php?main_page=product_info&products_id=4,
5,1,0,EA,0005-00000004-001,/air_als/cpapmd.jpg,55.83,0,"2012-07-30 11:06:00","2022-11-29 18:50:27",,0,0,583,1,1,0,0,0,0,0,1,1,0,0,0,55.8300,1,0,0,0,0,0,"CPAP, Medium Mask complete kit w/ Filter and T connector","Continuous Positive Airway Pressure kit, size Medium.     <i>Limit one per run number.</i>    <b>IEMS Restricted List</b>",,625,,,,,,"Airway / ALS",http://iemssupply.net/iems/index.php?main_page=product_info&products_id=5,
6,1,0,EA,0005-00000006-001,no_picture.gif,0.00,0,"2012-07-30 11:06:00","2022-12-16 18:39:33",,0,0,5,1,1,0,0,0,0,0,1,1,0,0,0,0.0000,1,0,0,0,0,0,"Cricothyroidotomy Kit, Needle",,,1,,,,,,"Airway / ALS",http://iemssupply.net/iems/index.php?main_page=product_info&products_id=6,
7,1,25,EA,0005-00000007-001,/air_als/crike.jpg,15.02,0,"2012-07-30 11:06:00","2023-03-06 12:32:12",,0,1,806,1,1,0,0,0,0,0,1,2,0,0,0,15.0200,1,0,0,0,0,0,"Cricothyroidotomy Kit, Surgical","Surgical Cricothyroidotomy kit.     <i>Limit is two.</i>    <b>Expires February 1, 2024.</b>",,568,,,,,,"Airway / ALS",http://iemssupply.net/iems/index.php?main_page=product_info&products_id=7,
8,1,0,EA,0005-00000008-001,/air_als/gripet.jpg,4.07,0,"2012-07-30 11:06:00","2022-11-29 18:51:29",,0,0,988,1,1,0,0,0,0,0,1,14,0,0,0,4.0700,1,0,0,0,0,0,"Endotracheal Tube Holder, Adult","<i>Sold by the each, limit 14.</i>",,66,,,,,,"Airway / ALS",http://iemssupply.net/iems/index.php?main_page=product_info&products_id=8,
9,1,0,EA,0005-00000009-003,air_als/curaplex25et.jpg,2.26,0,"2012-07-30 11:06:00","2022-12-16 18:39:54",,0,0,441,1,1,0,0,0,0,0,1,2,0,0,0,2.2600,1,0,0,0,0,0,"Endotracheal Tube w/ Stylet, 02.5 mm Un-Cuffed","<i>Sold by the each, limit 2. </i>",,85,,,,,,"Airway / ALS",http://iemssupply.net/iems/index.php?main_page=product_info&products_id=9,
10,1,0,EA,0005-00000010-003,air_als/curaplex30et.jpg,2.26,0,"2012-07-30 11:06:00","2022-12-16 18:40:04",,0,0,609,1,1,0,0,0,0,0,1,3,0,0,0,2.2600,1,0,0,0,0,0,"Endotracheal Tube w/ Stylet, 03 mm Un-Cuffed","<i>Sold by the each, limit 3. </i>",,87,,,,,,"Airway / ALS",http://iemssupply.net/iems/index.php?main_page=product_info&products_id=10,
11,1,0,EA,0005-00000011-003,air_als/curaplex35et.jpg,2.26,0,"2012-07-30 11:06:00","2022-12-16 18:40:50",,0,0,574,1,1,0,0,0,0,0,1,3,0,0,0,2.2600,1,0,0,0,0,0,"Endotracheal Tube w/ Stylet, 03.5 mm Un-Cuffed","<i>Sold by the each, limit 3. </i>",,65,,,,,,"Airway / ALS",http://iemssupply.net/iems/index.php?main_page=product_info&products_id=11,
