v_products_model,v_categories_name_1
"0005-00000001-001","Airway / ALS"
"0005-00000002-001","Airway / ALS"
"0005-00000003-001","Airway / ALS"
"0005-00000004-001","Airway / ALS"
"0005-00000006-001","Airway / ALS"
"0005-00000007-001","Airway / ALS"
"0005-00000008-001","Airway / ALS"
"0005-00000009-003","Airway / ALS"
"0005-00000010-003","Airway / ALS"
"0005-00000011-003","Airway / ALS"
"0005-00000012-003","Airway / ALS"
"0005-00000013-003","Airway / ALS"
"0005-00000014-003","Airway / ALS"
"0005-00000015-001","Airway / ALS"
"0005-00000016-003","Airway / ALS"
"0005-00000017-003","Airway / ALS"
"0005-00000018-003","Airway / ALS"
"0005-00000019-003","Airway / ALS"
"0005-00000020-003","Airway / ALS"
"0005-00000021-003","Airway / ALS"
"0005-00000022-001","Airway / ALS"
"0005-00000023-001","Airway / ALS"
"0005-00000024-001","Airway / ALS"
"0005-00000025-001","Airway / ALS"
"0005-00000026-001","Airway / ALS"
"0005-00000027-001","Airway / ALS"
"0005-00000028-001","Airway / ALS"
"0005-00000029-001","Airway / ALS"
"0005-00000031-001","Airway / ALS"
"0005-00000005-001","Airway / ALS"
"0005-00000030-001","Airway / ALS"
"0020-00000038-001","Airway / ALS"
"0005-00000008-002","Airway / ALS"
"0005-00000032-001","Airway / ALS"
"0005-00000003-002","Airway / ALS"
"0005-00000004-002","Airway / ALS"
"0005-00000034-001","Airway / ALS"
"0005-00000035-001","Airway / ALS"
"0005-00000004-003","Airway / ALS"
"0005-00000004-004","Airway / ALS"
"0005-00000009-004","Airway / ALS"
"0005-00000010-004","Airway / ALS"
"0005-00000011-004","Airway / ALS"
"0005-00000012-004","Airway / ALS"
"0005-00000013-004","Airway / ALS"
"0005-00000014-004","Airway / ALS"
"0005-00000016-004","Airway / ALS"
"0005-00000017-004","Airway / ALS"
"0005-00000018-004","Airway / ALS"
"0005-00000019-004","Airway / ALS"
"0005-00000020-004","Airway / ALS"
"0005-00000021-004","Airway / ALS"
"0005-00000039-001","Airway / ALS"
"0005-00000040-001","Airway / ALS"
"0005-00000041-001","Airway / ALS"
"0005-00000042-001","Airway / ALS"
"0005-00000043-001","Airway / ALS"
"0005-00000044-001","Airway / ALS"
"0005-00000045-001","Airway / ALS"
"0005-00000046-001","Airway / ALS"
"0005-00000037-001","Airway / ALS"
"0005-00000038-001","Airway / ALS"
"0010-00000001-001","Airway / Laryngoscopy"
"0010-00000002-001","Airway / Laryngoscopy"
"0010-00000003-001","Airway / Laryngoscopy"
"0010-00000004-001","Airway / Laryngoscopy"
"0010-00000005-001","Airway / Laryngoscopy"
"0010-00000006-001","Airway / Laryngoscopy"
"0010-00000007-001","Airway / Laryngoscopy"
"0010-00000008-001","Airway / Laryngoscopy"
"0010-00000009-001","Airway / Laryngoscopy"
"0010-00000010-001","Airway / Laryngoscopy"
"0010-00000010-002","Airway / Laryngoscopy"
"0015-00000001-001","Airway / Suction"
"0015-00000002-001","Airway / Suction"
"0015-00000003-001","Airway / Suction"
"0015-00000004-001","Airway / Suction"
"0015-00000005-001","Airway / Suction"
"0015-00000006-001","Airway / Suction"
"0015-00000007-001","Airway / Suction"
"0015-00000008-001","Airway / Suction"
"0015-00000009-001","Airway / Suction"
"0015-00000010-001","Airway / Suction"
"0015-00000011-001","Airway / Suction"
"0015-00000012-001","Airway / Suction"
"0015-00000013-001","Airway / Suction"
"0015-00000014-001","Airway / Suction"
"0015-00000015-001","Airway / Suction"
"0015-00000016-001","Airway / Suction"
"0015-00000017-001","Airway / Suction"
"0015-00000019-001","Airway / Suction"
"0015-00000018-001","Airway / Suction"
"0015-00000020-001","Airway / Suction"
"0015-00000021-001","Airway / Suction"
"0015-00000019-002","Airway / Suction"
"0015-00000025-001","Airway / Suction"
"0015-00000012-002","Airway / Suction"
"0020-00000001-001","Airway / Supplies"
"0020-00000002-001","Airway / Supplies"
"0020-00000003-001","Airway / Supplies"
"0020-00000004-001","Airway / Supplies"
"0020-00000005-001","Airway / Supplies"
"0020-00000006-001","Airway / Supplies"
"0020-00000007-001","Airway / Supplies"
"0020-00000008-001","Airway / Supplies"
"0020-00000009-001","Airway / Supplies"
"0020-00000010-001","Airway / Supplies"
"0020-00000011-001","Airway / Supplies"
"0020-00000012-001","Airway / Supplies"
"0020-00000013-001","Airway / Supplies"
"0020-00000014-001","Airway / Supplies"
"0020-00000015-001","Airway / Supplies"
"0020-00000016-001","Airway / Supplies"
"0020-00000017-001","Airway / Supplies"
"0020-00000018-001","Airway / Supplies"
"0020-00000019-001","Airway / Supplies"
"0020-00000020-001","Airway / Supplies"
"0020-00000021-001","Airway / Supplies"
"0020-00000022-001","Airway / Supplies"
"0020-00000023-001","Airway / Supplies"
"0020-00000024-001","Airway / Supplies"
"0020-00000025-001","Airway / Supplies"
"0020-00000026-001","Airway / Supplies"
"0020-00000027-001","Airway / Supplies"
"0020-00000028-001","Airway / Supplies"
"0020-00000029-001","Airway / Supplies"
"0020-00000030-001","Airway / Supplies"
"0020-00000031-001","Airway / Supplies"
"0020-00000032-001","Airway / Supplies"
"0020-00000033-001","Airway / Supplies"
"0020-00000034-001","Airway / Supplies"
"0020-00000035-001","Airway / Supplies"
"0020-00000036-001","Airway / Supplies"
"0020-00000037-001","Airway / Supplies"
"0020-00000040-001","Airway / Supplies"
"0020-00000041-001","Airway / Supplies"
"0020-00000042-001","Airway / Supplies"
"0020-00000043-001","Airway / Supplies"
"0020-00000044-001","Airway / Supplies"
"0020-00000019-002","Airway / Supplies"
"0020-00000020-002","Airway / Supplies"
"0020-00000019-003","Airway / Supplies"
"0020-00000002-002","Airway / Supplies"
"0020-00000003-002","Airway / Supplies"
"0020-00000004-002","Airway / Supplies"
"0020-00000053-001","Airway / Supplies"
"0020-00000054-001","Airway / Supplies"
"0020-00000055-001","Airway / Supplies"
"0020-00000056-001","Airway / Supplies"
"0020-00000057-001","Airway / Supplies"
"0020-00000058-001","Airway / Supplies"
"0020-00000059-001","Airway / Supplies"
"0020-00000060-001","Airway / Supplies"
"0020-00000019-004","Airway / Supplies"
"0030-00000001-001","C-Spine"
"0030-00000002-001","C-Spine"
"0030-00000003-001","C-Spine"
"0030-00000004-001","C-Spine"
"0030-00000005-001","C-Spine"
"0030-00000006-001","C-Spine"
"0030-00000007-001","C-Spine"
